,School Campus,Intervention Type,Scanning Type,School Related,School Hours,Enforcment By,Restraints,Force,Top Charge,SummonsCharge,Classification,Incident Location,Scanning Incident,Greater Than 21,Type Of Force
1375,JOHN BOWNE HS(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1376,JOHN BOWNE HS(QS),Mitigated,Random,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1377,JOHN BOWNE HS(QS),Summons,Random,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1378,JOHN BOWNE HS(QS),Summons,Random,Y,Y,PATROL,No Restraints,N,,TRESPASS,V,On-Site,N,No,None
1379,JOHN BOWNE HS(QS),Summons,Unannounced,Y,Y,SSA,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1380,JOHN BOWNE HS(QS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1381,JOHN BOWNE HS(QS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,No,None
1382,JOHN DEWEY HS(BS) ,Arrested,Full-Time,Y,Y,PATROL,Metal,N,CRIM POS WEAP,,M,On-Site,Y,No,None
1383,JOHN DEWEY HS(BS) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,No,None
1384,JOHN DEWEY HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1385,JOHN DEWEY HS(BS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,No,None
1386,JOHN F. KENNEDY HS(XW),Arrested,Full-Time,N,N,DB,Metal,N,ROBBERY,,F,Off-Site,N,No,None
1387,JOHN F. KENNEDY HS(XW),Arrested,Full-Time,Y,Y,SSA,Metal,Y,RESIST ARREST,,M,On-Site,Y,No,Physical Force
1388,JOHN F. KENNEDY HS(XW),Arrested,Full-Time,Y,Y,SSA,Metal,N,ASSAULT,,M,On-Site,N,No,None
1389,JOHN F. KENNEDY HS(XW),Child in Crisis,Full-Time,N,Y,,No Restraints,N,,,,On-Site,N,No,None
1390,JOHN F. KENNEDY HS(XW),Child in Crisis,Full-Time,N,Y,,No Restraints,N,,,,On-Site,N,No,None
1391,JOHN F. KENNEDY HS(XW),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
1392,JOHN F. KENNEDY HS(XW),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
1393,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1394,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1395,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1396,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,,,,,On-Site,Y,No,
1397,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1398,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1399,JOHN F. KENNEDY HS(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1400,JOHN F. KENNEDY HS(XW),Summons,Full-Time,Y,Y,PATROL,Metal,N,,DISORDERLY CONDUCT,V,On-Site,N,No,None
1401,JOHN F. KENNEDY HS(XW),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,No,None
1402,JOHN F. KENNEDY HS(XW),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1403,JOHN F. KENNEDY HS(XW),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1404,JOHN F. KENNEDY HS(XW),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,No,None
1405,John F. Kennedy Jr. School (old P721 OTC)(QN),Child in Crisis,Non-Scanning,Y,Y,PATROL,Metal,N,,,,On-Site,N,No,None
1406,JOHN JAY HS(BS),Arrested,Full-Time,Y,Y,PATROL,Metal,N,FORCIBLE TOUCH,,M,On-Site,N,No,None
1407,JOHN JAY HS(BS),Arrested,Full-Time,Y,Y,PATROL,Metal,N,FORCIBLE TOUCH,,M,On-Site,N,No,None
1408,JOHN JAY HS(BS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1409,JOHN JAY HS(BS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1410,JOHN JAY HS(BS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1411,JOHN JAY HS(BS),Mitigated,Hand Wand,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1412,JOHN JAY HS(BS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1413,JONAS BRONCK ACADEMY(XW),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1414,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1415,JUMP START ACADEMY(QS) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1416,KAPPA I(XE),Child in Crisis,Full-Time,N,Y,,No Restraints,N,,,,On-Site,N,No,None
1417,KAPPA IV(MN),Child in Crisis,Non-Scanning,Y,Y,SSA,Metal,N,,,,On-Site,N,No,None
1418,KAPPA V(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,TRESPASS,V,On-Site,N,No,None
1419,Khalil Gibran International Academy(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1420,Khalil Gibran International Academy(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1421,Khalil Gibran International Academy(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1422,Khalil Gibran International Academy(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1423,Khalil Gibran International Academy(BN),Summons,Unannounced,N,Y,PATROL,No Restraints,N,,"IMITATION PISTOL/AIR RIFLE, POSS. OF",V,On-Site,Y,No,None
1424,Khalil Gibran International Academy(BN),Summons,Unannounced,N,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,No,None
1425,KINGSBRIDGE INTERNATIONAL HS(XW),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1426,Kurt Hahn Expeditionary Learning School(BS),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1427,LAFAYETTE HS(BS) ,Arrested,Full-Time,Y,Y,PATROL,Metal,N,CRIM POS WEAP,,M,On-Site,Y,No,None
1428,LAFAYETTE HS(BS) ,Juvenile Report,Full-Time,N,Y,PATROL,No Restraints,N,,,,On-Site,Y,No,None
1429,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1430,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1431,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1432,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1433,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1434,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1435,LAFAYETTE HS(BS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1436,LAFAYETTE HS(BS) ,Summons,Full-Time,N,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1437,LANDMARK HS(MS) ,Arrested,Non-Scanning,N,N,TRANSIT,Metal,N,CRIM MISCHIEF,,M,Off-Site,N,No,None
1438,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,Y,ASSAULT,,M,On-Site,N,No,Physical Force
1439,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Arrested,Non-Scanning,Y,Y,PATROL,No Restraints,N,ASSAULT,,M,On-Site,N,No,None
1440,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Child in Crisis,Non-Scanning,Y,Y,PATROL,Metal,N,,,,On-Site,N,No,None
1441,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1442,LEADERSHIP & PUBLIC SERVICE HS(MS) ,PINS / Warrant,Non-Scanning,N,Y,PATROL,No Restraints,N,,,,Off-Site,N,No,None
1443,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Summons,Non-Scanning,N,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1444,LEADERSHIP INSTITUTE(XE) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,GRAND LARCENY,,F,On-Site,N,No,None
1445,Leadership Prep Bedford Stuyvesant Charter School(BN),Mitigated,Random,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1446,Leadership Prep Bedford Stuyvesant Charter School(BN),Mitigated,Random,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1447,Leadership Prep Brownsville Charter School @ PS 284(BN),Child in Crisis,Non-Scanning,N,Y,PATROL,Metal,N,,,,On-Site,N,No,None
1448,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1449,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1450,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1451,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1452,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1453,LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1454,LEGACY SCHOOL FOR INTEGRATED STUDIES(MS) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1455,Lenox Academy(BS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1456,Liberation Diploma Plus HS(BS),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1457,Life Academy HS for Film & Music(BS),Arrested,Full-Time,Y,Y,PATROL,Metal,Y,ASSAULT,,F,On-Site,N,No,Physical Force
1458,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Arrested,Non-Scanning,N,Y,DB,Metal,N,ROBBERY,,F,Off-Site,N,No,None
1459,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ROBBERY,,F,Off-Site,N,No,None
1460,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,N,N,DB,Metal,N,ASSAULT,,F,Off-Site,N,No,None
1461,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,CRIM POS WEAP,,M,On-Site,N,No,None
1462,LONG ISLAND CITY HS(QN) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,No,None
1463,LONG ISLAND CITY HS(QN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1464,LONG ISLAND CITY HS(QN) ,Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1465,LONG ISLAND CITY HS(QN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1466,LONG ISLAND CITY HS(QN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1467,LOUIS D. BRANDEIS HS(MN) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
1468,LOUIS D. BRANDEIS HS(MN) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
1469,LOUIS D. BRANDEIS HS(MN) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1470,LOUIS D. BRANDEIS HS(MN) ,Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1471,LOUIS D. BRANDEIS HS(MN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,No,None
1472,Lower Manhattan Community Middle School(MS) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1473,Lyons Community School(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1474,Manhattan Academy for Arts & Language(MS),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1475,Manhattan Academy for Arts & Language(MS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1476,Manhattan Academy for Arts & Language(MS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1477,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,No,None
1478,Manhattan ALC Battery Park(MS),Summons,Hand Wand,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1479,Manhattan Business Academy(MS),Arrested,Non-Scanning,Y,Y,DB,Metal,N,OBSTRUCT BREATH,,M,On-Site,N,No,None
1480,Manhattan Business Academy(MS),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1481,Manhattan Center For Science & Mathematics(MN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1482,Manhattan School for Career Development P751(MS),Arrested,Non-Scanning,N,N,TRANSIT,Metal,N,GRAND LARCENY,,F,Off-Site,N,No,None
1483,Manhattan School for Career Development P751(MS),Child in Crisis,Non-Scanning,Y,Y,SSA,Metal,Y,,,,On-Site,N,No,Physical Force
1484,Manhattan School for Career Development P751(MS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1485,Manhattan School for Career Development P751(MS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1486,MARBLE HILL HS FOR INTERNATIONAL STUDIES(XW) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,No,None
1487,Marsh Avenue School for Expeditionary Learning (Old IS 43) (SI),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1488,MARTIN VAN BUREN HS(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1489,MARTIN VAN BUREN HS(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1490,MARTIN VAN BUREN HS(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1491,MARTIN VAN BUREN HS(QS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1492,Maspeth HS(QN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1493,Maspeth HS(QN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1494,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Arrested,Full-Time,Y,Y,PATROL,Metal,N,ASSAULT,,F,On-Site,N,No,None
1495,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,,,,,On-Site,Y,No,
1496,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1497,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,,,,,On-Site,Y,No,
1498,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1499,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"IMITATION PISTOL/AIR RIFLE, POSS. OF",V,On-Site,Y,No,None
1500,McCown Expeditionary Learning School(SI),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,No,None
1501,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
1502,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
1503,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Arrested,Non-Scanning,Y,Y,PATROL,No Restraints,N,POSS MARIJUANA,,M,On-Site,N,No,None
1504,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1505,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1506,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1507,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1508,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1509,METROPOLITAN CORPORATE ACADEMY HS(BN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1510,METROPOLITAN CORPORATE ACADEMY HS(BN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1511,METROPOLITAN CORPORATE ACADEMY HS(BN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1512,Metropolitan Diploma Plus HS(BN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1513,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1514,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1515,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1516,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1517,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
1518,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1519,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1520,Metropolitan Diploma Plus HS(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1521,Metropolitan Expeditionary Learning School(QN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1522,Metropolitan Expeditionary Learning School(QN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1523,MICHAEL J. PETRIDES HS(SI) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1524,MIDDLE COLLEGE HS@LAGUARDIA COMMUNITY COLLEGE(QN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1525,Middle School for Art & Philosophy(BS),Arrested,Non-Scanning,N,N,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1526,MIDWOOD HS(BS),Arrested,Non-Scanning,Y,Y,SSA,Metal,N,ASSAULT,,F,On-Site,N,No,None
1527,MIDWOOD HS(BS),Arrested,Non-Scanning,Y,Y,DB,Metal,N,GRAND LARCENY,,F,On-Site,N,No,None
1528,MIDWOOD HS(BS),Arrested,Non-Scanning,Y,Y,SSA,Metal,N,CRIM POS WEAP,,M,On-Site,N,No,None
1529,MIDWOOD HS(BS),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1530,MIDWOOD HS(BS),Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
1531,MIDWOOD HS(BS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1532,MIDWOOD HS(BS),Mitigated,Non-Scanning,Y,N,DOE,No Restraints,N,,,,On-Site,N,No,None
1533,MIDWOOD HS(BS),Summons,Non-Scanning,Y,Y,PATROL,Metal,N,,DISORDERLY CONDUCT,V,On-Site,N,No,None
1534,Monroe Academy Annex(XE),Child in Crisis,Non-Scanning,N,Y,,No Restraints,N,,,,On-Site,N,No,None
1535,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,Mitigated,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1536,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,Mitigated,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1537,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Arrested,Full-Time,N,N,DB,Metal,N,ROBBERY,,F,Off-Site,N,No,None
1538,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Child in Crisis,Full-Time,Y,Y,SSA,Metal,N,,,,On-Site,N,No,None
1539,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1540,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1541,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1542,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1543,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1544,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1545,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Summons,Full-Time,Y,Y,UTF,Metal,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
1546,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Summons,Full-Time,Y,Y,PATROL,Metal,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,No,None
1547,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
1548,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1549,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1550,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1551,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1552,MORRIS HS(XE),Arrested,Full-Time,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
1553,MORRIS HS(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1554,MORRIS HS(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1555,MORRIS HS(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1556,MORRIS HS(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
1557,MORRIS HS(XE),Mitigated,Full-Time,N,Y,SSA,Metal,N,,,,Off-Site,N,No,None
1558,MORRIS HS(XE),Mitigated,Full-Time,N,Y,SSA,Metal,N,,,,Off-Site,N,No,None
1559,MORRIS HS(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1560,MORRIS HS(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1561,MORRIS HS(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1562,MORRIS HS(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1563,MORRIS HS(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1564,MORRIS HS(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
1565,MORRIS HS(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
1566,MORRIS HS(XE),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
1567,MORRIS HS(XE),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
